z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.0,0.23721761076701003,0.0,300.0,1.1094629881155198,9.859398773839066e-10,2.6239920079216774e-16,1.2250489357935391e-15,0.18484288336792476,2.485362059221446e-15,-1.2655731804538678e-15,2.332144679045768e-17,2.1323689214055285e-16,-1.194034888591356e-15,1.7604829258356328e-29,-4.363887620489403e-16,-9.091529951088111e-29,-9.216867381817012e-16,0.12014787418173203,-1.3820723631665333e-16,-2.7467853708775054e-17,4.510610944195992e-22,-2.812732049737633e-15,3.4099383992969206e-29,-4.371961078057253e-22,-3.2238489709961624e-16,3.5050140113249613e-16,5.681612628847773e-17,1.1834505511386602e-32,3.860933229349975e-15,1.574575199670979e-23,5.327684230146463e-16,8.857176012936785e-30,6.052650450938054e-18,-1.822099127394572e-18,1.3920286883420698e-14,-8.935073703636188e-15,-1.7347186836353358e-17,9.594042376526407e-17,-8.469768719784763e-32,-6.796723975260113e-16,3.722510164919834e-16,-4.4946918867577575e-17,7.007927901807997e-17,1.4025852202363013e-16,-5.930963483823219e-16,1.2270481208827535e-15,-2.925206656393763e-31,-1.5824830350692605e-17,-4.244287714222129e-21,3.811900201769947e-17,1.9594427635423874e-17,0.6950092414643974,5.8717021362656455e-115,-1.4304642726584948e-15,1.948688403613331e-17,1.1932211713621496e-27,2.0683774931684487e-18
0.0005,0.23721761109569672,0.0,299.99999999992065,1.109462986578258,2.4873176741160683e-09,-5.147109626913412e-21,5.677963191114685e-15,0.18484288309221777,-1.6682830367595843e-16,-7.873563287565452e-15,1.556038226261646e-16,2.8749703095276237e-16,-4.597260250994065e-21,-4.439732453764539e-32,-3.25715961035844e-20,-5.576104778400709e-28,-7.534409658288164e-15,0.12014787399121665,-9.245391630729852e-16,-2.3235775420525686e-16,3.824144320178023e-21,-2.8977064563900267e-15,2.938504487384452e-28,-3.767467697790734e-21,-3.2238289434947966e-16,7.410747436840937e-22,5.681753722100865e-17,9.632511766720152e-32,3.860938149018168e-15,1.4023534062429031e-22,5.3281096606386945e-16,5.015111034042063e-29,6.0526561292243866e-18,-1.8220990824049473e-18,8.094772369170895e-15,-1.358507492676038e-16,-1.733340141929477e-17,9.594157074621009e-17,-5.629929805137035e-31,-4.570739521614293e-15,3.7224501867391357e-16,-4.4943967075796067e-17,6.873830009348445e-17,8.531005867234758e-22,-5.931054865425292e-16,1.2270103192850415e-15,-2.0036617307596888e-32,-1.5824830328188043e-17,-4.244286618526174e-21,3.8119030437502837e-17,1.6637666945088537e-16,0.6950092404292543,7.785772182157338e-115,-1.4304669527632672e-15,1.9486832739076328e-17,1.1695675757830833e-26,2.0683782447029226e-18
0.00075,0.23721761144781184,0.0,299.99999999993247,1.1094629849314213,4.09536225680372e-09,-9.188463586319848e-24,7.620668099951022e-15,0.18484288279691544,-1.2689638478960717e-17,-7.629515316510214e-15,8.236781931970898e-17,3.242320708803747e-16,-3.9960591531086584e-26,-2.5140766416282356e-37,-6.1817693197287054e-24,8.435810188612592e-29,-7.614741506965498e-15,0.12014787378715867,-9.009563628461394e-16,-2.323202278828488e-16,1.0681727954363846e-25,-2.8977162468810143e-15,4.570855563668601e-29,-4.156819555717344e-21,-3.2238156254194673e-16,3.385059311956289e-27,5.682202455691046e-17,1.2391922862641882e-32,3.8609465667300986e-15,1.1712411258507665e-22,5.328370733373173e-16,4.444666637305208e-29,6.052682229716436e-18,-1.8220990208339296e-18,6.002657632861646e-15,-4.598480923052539e-18,-1.7308315470509245e-17,9.594439071914008e-17,-1.0069465242548727e-33,-2.5597157561336693e-15,3.7224254687669176e-16,-4.4942992602181196e-17,6.871651389695184e-17,1.1357565723523436e-26,-5.9310911956513e-16,1.2269952228898534e-15,-4.158825521546083e-37,-1.5824829842080015e-17,-4.24427979970708e-21,3.811905829603985e-17,1.6637432675896208e-16,0.6950092393205676,8.448154446059934e-115,-1.4304679488904253e-15,1.948680728331332e-17,1.0596931732021323e-26,2.068381503009897e-18
0.001,0.23721761206802552,0.0,299.9999999999534,1.1094629820306916,6.927763262600077e-09,2.25013428939908e-24,9.01002533771712e-15,0.1848428822767732,4.170994665175966e-18,-5.9114862225829326e-15,1.0342425083520388e-17,3.607420717774088e-16,-3.016103776236615e-31,7.864667664915946e-42,-6.086783813856904e-25,1.5915969975638855e-29,-7.361342604315362e-15,0.12014787342773081,-8.102853577156284e-16,-2.3206153802174524e-16,4.587544443181386e-28,-2.8976903935608936e-15,1.0841257133764999e-29,-4.256470897451284e-21,-3.223754668186876e-16,1.4137249810384826e-32,5.684242643373023e-17,2.297541069215821e-33,3.860981712700426e-15,9.279845300525736e-23,5.328750732829073e-16,4.0708626743103794e-29,6.052828012961779e-18,-1.8220988363166976e-18,4.453665459026123e-15,-1.3550564174749867e-19,-1.7239064543691572e-17,9.595470676685785e-17,2.461450303394039e-34,-9.627459687168109e-16,3.7224153919205727e-16,-4.4941863340138775e-17,6.871473791926988e-17,1.3615597558338066e-31,-5.931116002770436e-16,1.2269840011726003e-15,-1.9663521438413758e-42,-1.582482691047114e-17,-4.244242705845961e-21,3.8119093475154673e-17,1.663706458723663e-16,0.6950092373677331,8.954299348850798e-115,-1.4304687144445603e-15,1.948678279466991e-17,9.731757918793431e-27,2.068399462667731e-18
0.0015625,0.23721761519013904,0.0,300.0000000001235,1.1094629674286165,2.1185641936738974e-08,3.2349031047964103e-24,1.061933951926877e-14,0.18484287965846033,6.188602293559995e-18,1.335719421476049e-14,-1.4384374645820633e-16,4.439432222762573e-16,-9.435714125595998e-37,4.948676016462102e-42,-3.3568246023863633e-25,1.0143428885462932e-29,-6.6487152746060655e-15,0.12014787161841589,3.365919040398049e-16,-2.2794018709559103e-16,3.9619082057344387e-28,-2.8970926764245043e-15,6.736753493606014e-30,-4.3159606831260795e-21,-3.222760029367772e-16,2.51496272708234e-38,5.715215590436811e-17,1.4234738053934474e-33,3.861520381684391e-15,5.886918402166871e-23,5.331452191596145e-16,3.564057706959828e-29,6.055501157093419e-18,-1.822095752090269e-18,2.465863198368765e-15,-1.6756156712759045e-21,-1.6637428520699836e-17,9.607910216247985e-17,3.5387097005543056e-34,1.0777994837990934e-15,3.722599469617745e-16,-4.493961659099694e-17,6.871209279679021e-17,3.8158187538605445e-36,-5.931124927542219e-16,1.2269696595908744e-15,2.2246830678031548e-42,-1.5824779304187697e-17,-4.2436420258673374e-21,3.811947874214525e-17,1.663627871737072e-16,0.6950092275374595,9.745059354384894e-115,-1.4304697456436174e-15,1.9486749169588768e-17,8.520249878823003e-27,2.0687308664064834e-18
0.002125,0.23721762366137783,0.0,300.0000000012356,1.1094629278087709,5.986923074790531e-08,3.745890979953315e-24,1.1336310973130197e-14,0.18484287255460918,6.6454705580280716e-18,1.4380476944289397e-13,-2.628590100117926e-16,5.48438628981679e-16,-2.7670120223354484e-42,2.725548833833805e-42,-1.8471190870361468e-25,9.352499136692706e-30,-5.890256127123496e-15,0.12014786670942561,8.823676760291204e-15,-1.8923056084936088e-16,3.602892443816113e-28,-2.891107149643819e-15,5.631224703707845e-30,-4.409741687108613e-21,-3.213142123436603e-16,1.6156870277143435e-42,5.992601333585364e-17,1.2799310265503047e-33,3.8664976435281856e-15,3.999518333414665e-23,5.350927058116358e-16,3.2464747440974414e-29,6.084530935864553e-18,-1.8220625928277533e-18,1.3610373644355207e-15,-1.9357130328309593e-23,-1.365218373542123e-17,9.695515824953526e-17,4.09768526763304e-34,2.2101893115927913e-15,3.724675179216053e-16,-4.4937502210898967e-17,6.87103965424975e-17,2.8425396828465273e-36,-5.930909228558976e-16,1.2269613137137935e-15,1.2249830633810641e-42,-1.58243305180904e-17,-4.237966125755178e-21,3.8123009717597994e-17,1.6635518606064657e-16,0.6950092008665717,1.047849978930642e-114,-1.4304703506414148e-15,1.9486994261210484e-17,7.75278323860984e-27,2.0723593659779317e-18
0.00325,0.23721768415203914,0.0,300.00000002305205,1.1094626448950151,3.360473273146565e-07,4.185287631626541e-24,1.142960868091009e-14,0.18484282183701645,6.708699991016361e-18,2.6979856439045e-12,2.013761388083821e-16,1.2709375136556104e-15,-3.6905225432937284e-48,1.0206755402952316e-42,-6.866558702222469e-26,8.696662988505825e-30,-4.307872400843236e-15,0.12014783166071122,1.887583400478307e-13,8.627741073833293e-16,3.2382078255298956e-28,-2.7253249648073347e-15,4.6646628120828464e-30,-4.791377978896894e-21,-2.943703263008341e-16,1.5056686465417124e-42,1.316765472525002e-16,1.1619305218934904e-33,3.999757595081932e-15,2.8633180972687895e-23,5.900425679888392e-16,3.1087870280862326e-29,7.001031594810229e-18,-1.8210174822067994e-18,5.0878191341708e-16,-1.0173636096340786e-25,2.7800210705810574e-17,1.1458789757525367e-16,4.578347248490552e-34,3.0875231665708358e-15,3.7777159580505517e-16,-4.493243190745132e-17,6.873162891284215e-17,2.528627449067011e-36,-5.924383572861355e-16,1.2269533349940736e-15,4.49747365398105e-43,-1.5812077372256438e-17,-4.0828633724250885e-21,3.821925274880873e-17,1.663405078175407e-16,0.6950090104520437,1.3622069409387872e-114,-1.4304707260533445e-15,1.949802472090013e-17,7.039968683238061e-27,2.1878914661055967e-18
0.0055,0.23721842734193507,0.0,300.00000083957576,1.1094591690207605,3.7271848775521606e-06,6.132265948692371e-24,1.050987483426669e-14,0.18484219907362978,6.1718607212002566e-18,9.784543232783032e-11,3.024728861170678e-14,2.4887766107597895e-14,1.821556737967333e-50,2.361322029102331e-43,-1.545023127099752e-26,8.155165260317182e-30,9.533894374659638e-16,0.12014740125097666,7.458493802114378e-12,5.594026684135543e-14,3.399126578904902e-28,6.074779362039042e-15,4.176663928739033e-30,-5.855604293774137e-21,1.1614112719848636e-15,1.8917195041542978e-42,3.700067211882105e-15,1.25741166002036e-33,1.0869963427000398e-14,3.7876516831852946e-23,3.6587718294784436e-15,3.910953522145395e-29,6.303661222378934e-17,-1.7571407878210862e-18,1.1609329945977159e-16,4.240257731140769e-26,1.0960931814023902e-15,7.891221786864869e-16,6.708159221337949e-34,3.955598725272025e-15,6.311387866739079e-16,-4.4862394693651775e-17,6.98365620567799e-17,2.1761335741469422e-36,-5.572295039644952e-16,1.2269559572849248e-15,1.0753601024729801e-43,-1.5167093822445646e-17,4.083475680262257e-21,4.328429441672582e-17,1.6631375811279225e-16,0.6950066723850581,5.232914053554303e-114,-1.4304674666575875e-15,2.029573982485907e-17,7.605417107436789e-27,9.313773659114323e-18
0.006625,0.23722071280013246,0.0,300.0000084813631,1.1094484801457718,1.4136924805334185e-05,2.4145978317044977e-23,1.0482841777329095e-14,0.18484028726270227,6.164139170893014e-18,9.841805450348523e-10,3.3823507861553145e-13,2.6193678093675674e-13,9.523467688881636e-51,1.4915029665448858e-43,-5.3775166319008245e-27,2.0187771025857796e-29,2.5367914265649797e-14,0.12014607954983725,8.088644073738952e-11,7.768333619012949e-13,7.896267097800406e-28,1.227925552472924e-13,5.6652327532527584e-30,-4.271805836630931e-21,2.0825445661883517e-14,9.792654129879563e-42,4.806690329395994e-14,4.351714469144835e-33,9.941832934566437e-14,2.383897737978751e-24,4.647767243212947e-14,2.022712332835613e-28,9.195477814410407e-16,-7.808446837500213e-19,4.370858013558565e-17,2.5121017363539995e-25,7.97905814718738e-15,7.239988419191914e-15,2.641333835097498e-33,8.812424490520135e-15,3.649752602155157e-15,-4.403382604115813e-17,8.11696442216136e-17,2.401166764719395e-36,-8.340829031962534e-17,1.2271191949593942e-15,3.978058508053471e-44,-6.677797250357087e-18,1.1157530460559206e-19,1.0994168000222401e-16,1.6633675390874398e-16,0.694999495195809,1.695565239244573e-113,-1.4304506190205472e-15,3.4574218009007907e-17,2.632799157913611e-26,1.1919206585689374e-16
0.00775,0.23723087993982703,0.0,300.0001063790332,1.1094009318769715,6.021226081072836e-05,3.113573541012219e-22,1.5272192790725085e-14,0.1848318236442147,9.089701759001107e-18,1.2288362442020089e-08,4.58390038899844e-12,3.546047578683205e-12,2.8406382040134035e-51,-1.0419411632449287e-42,2.0134231892999222e-28,2.7011058920430327e-29,3.21704450552338e-13,0.1201402237986709,1.0942279784681026e-09,1.3597701576791519e-11,1.2521643304726989e-26,2.225677051047427e-12,3.308018252711661e-29,3.1360922436225215e-19,3.8152582934368403e-13,2.1328632580994893e-40,7.983472160234638e-13,8.981943247394344e-32,1.6506170249474005e-12,-6.24673255318184e-22,8.572507485160301e-13,4.3522169456987146e-27,1.8660649520609227e-14,1.9441112404221783e-17,1.644990171129948e-17,3.104540865854465e-24,6.940238463344936e-14,9.164503247514044e-14,3.4058200277678163e-32,7.531137407600376e-14,5.2602161816640036e-14,-2.921752785458438e-17,2.3825373268097026e-16,2.241901822116931e-36,8.576294657616163e-15,1.2303210772914615e-15,-1.74832557509016e-43,1.4513851792962859e-16,2.033905182454521e-18,1.3019785828027898e-15,1.6703899012241894e-16,0.6949677268854147,6.07639771027992e-113,-1.430329011181957e-15,3.799830403521156e-16,5.243250942548067e-25,2.414824928577376e-15
