z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.0,0.11696153137196935,0.0,300.0,1.1032029472788594,5.851998551220848e-07,-4.45997105511633e-15,9.17361637258068e-16,0.18231529954348133,1.0219363804196967e-15,6.51116722360782e-13,-6.9312972885020834e-15,2.2225452900654158e-15,1.7732181661065327e-14,1.5907826265709813e-31,1.7940722836912127e-15,8.07654242683871e-28,5.060469454039701e-16,0.1321785871110219,4.109768891524217e-14,3.5683683486650094e-16,-1.53659003858203e-20,1.73351170097511e-16,-1.982656483838155e-32,2.0692619765892766e-25,7.696923834936981e-16,-1.1329610780648903e-14,8.048851524100636e-17,8.285948888753585e-34,9.24389900831421e-16,2.705576342524322e-29,-1.4660553084555731e-15,3.6620300404090593e-32,6.955123253393621e-17,3.7615258416471985e-19,-1.0203326496814213e-14,-6.660331420895695e-16,1.6894483961177815e-18,2.5414207743436046e-16,-1.3935745381771712e-29,-2.4417528148498014e-15,1.8663467781935533e-15,2.66340473903942e-15,3.4682298144706075e-16,-1.2250453796816055e-14,-9.529316443530616e-15,5.352033840617021e-15,-1.0685580692662616e-31,1.5044270210821107e-19,-7.9505988849306435e-22,1.1503954914500337e-14,-3.612297232796222e-15,0.6855055281449641,0.0,-2.620188559980906e-21,-4.3582742043992406e-16,5.175025890722919e-29,-7.49750341701694e-18
0.0005,0.11696157880302777,0.0,300.0000000145007,1.1032024999004217,1.024917130016793e-06,-4.92478751240432e-19,2.560504353512868e-15,0.18231521981391677,1.580993574464451e-17,2.3284014518319236e-12,-2.626135835655936e-14,2.3508526993642667e-15,4.3149514472392885e-20,8.840905395537577e-35,8.116579321048229e-20,2.8528804160286592e-27,1.905627615595433e-15,0.13217852550543896,1.5628742505985858e-13,1.6690445952469507e-15,-7.203345173324631e-20,5.90607610010471e-16,-9.539015385201122e-32,-6.264934949665664e-24,7.783213681931445e-16,-1.395918242522485e-20,1.5218070791796963e-16,3.735097850879828e-33,1.0073254950290448e-15,1.7702685565938705e-29,-1.467224642441131e-15,1.1861110641645318e-31,7.007778248107465e-17,3.7677915399991727e-19,-4.558638994376524e-15,-6.351373322298463e-18,3.681634845108198e-18,2.741302937144172e-16,-5.321052373010378e-29,-9.283376589385965e-15,1.8669953093284473e-15,2.6634026773220272e-15,3.466774922697086e-16,-4.4314063652620464e-20,-9.529114362813993e-15,5.352031222265596e-15,3.967077052081195e-35,1.5276490701094969e-19,-7.585366209523509e-22,1.1503954811441584e-14,-1.6868185223054025e-14,0.6855052297610648,0.0,-2.620201553874031e-21,-4.358252237503724e-16,2.7505908282285277e-28,-7.477448549960697e-18
0.00075,0.11696161588727913,0.0,300.000000035775,1.1032021501152178,1.368676532124438e-06,-1.7420888941063868e-22,9.329703193398492e-16,0.18231515748324562,8.626952198244368e-19,4.7855890292307754e-12,-2.5931047711573436e-14,2.665533750102502e-15,2.533827866658734e-25,1.7637017223898772e-40,8.606276986651728e-24,5.3142680250140185e-31,2.0955642749442604e-15,0.1321784773427287,3.351352158282782e-13,2.475073083117569e-15,-1.2203107432426199e-24,6.864411116258488e-16,-2.861407140106478e-32,-4.303355539707552e-24,7.949269558045071e-16,-3.9196512413313655e-26,2.8170522209911944e-16,3.038508513702407e-34,1.1612997707740556e-15,-9.172092634817959e-30,-1.4692217338925905e-15,7.930575323738695e-32,7.119336175997337e-17,3.7810678448853103e-19,-2.887887022105121e-15,-1.4572793491048168e-19,5.974569724236683e-18,3.0397535628961187e-16,-1.8937993676150092e-32,-1.10993680820787e-14,1.8681313622312363e-15,2.663401738195849e-15,3.466585685604742e-16,-3.7218835721214555e-25,-9.528731013917145e-15,5.352029352146845e-15,9.992368682290407e-41,1.5714474738332099e-19,-6.896523520674001e-22,1.1503979923106872e-14,-1.6868214717205588e-14,0.6855049964924076,0.0,-2.620173680001803e-21,-4.3582015485324073e-16,2.205513164013554e-28,-7.434670520132189e-18
0.001,0.11696166691166657,0.0,300.0000000845694,1.1032016688445556,1.8415857337631084e-06,-1.0164022631986648e-24,-8.769826800133429e-17,0.1823150717346756,-3.176182894336051e-20,1.0407540708760206e-11,-2.529312769359547e-14,3.502642173997715e-15,1.1937451118003746e-30,-2.449336447273816e-44,-3.741376189891498e-28,2.872652876064391e-32,2.4284642426396793e-15,0.1321784110833103,7.646171482589627e-13,4.761859691141632e-15,-7.918988548520993e-30,9.608134044484595e-16,-2.0326987189676302e-32,-3.540129294616706e-24,8.430692912666955e-16,-9.448727100138903e-32,6.368889715370732e-16,7.445579534310539e-35,1.5937721381826166e-15,-8.100815704457384e-28,-1.4743362602386171e-15,-3.579918134620389e-32,7.47165319688109e-17,3.8229979113181827e-19,-1.8203049125568882e-15,-2.6622621914319376e-21,1.0257664124486056e-17,3.733403190907426e-16,-1.0985298868665077e-34,-1.2248408199703899e-14,1.8711609393893803e-15,2.663401480761297e-15,3.466417282978768e-16,-2.6249453005141864e-30,-9.52762706132111e-15,5.352026965945484e-15,-1.6129027033193924e-44,1.696188648469547e-19,-4.934658995210172e-22,1.1504074671908242e-14,-1.68681876083571e-14,0.6855046755851388,0.0,-2.6200671614577063e-21,-4.3580242602618937e-16,3.7811185566582635e-28,-7.298740287263085e-18
0.0015625,0.11696185187013325,0.0,300.0000004250584,1.1031999242885113,3.555240951865196e-06,-2.0419049555001575e-24,-1.0418201077576323e-15,0.18231476100892013,-6.058486173790461e-19,4.953183641526734e-11,-2.119196982256803e-14,9.994920256008127e-15,2.2256483033721815e-36,-1.1437895638334363e-44,-4.566903690670818e-28,8.944166224037125e-33,4.764397829238903e-15,0.13217817096586007,3.9315317628483696e-12,2.5268469003998197e-14,3.725224008891613e-30,3.447589492427102e-15,-1.8371735403285304e-32,-1.829262813459446e-23,1.285678828551694e-15,-9.380688918700308e-38,3.698559245666916e-15,3.256793632962093e-35,5.426846528081893e-15,-1.2583955155840185e-25,-1.513974762082758e-15,-1.5103413531891811e-30,1.1044385613967474e-16,4.248204912119188e-19,-7.5561443884976e-16,-1.9176527684064087e-23,3.348636000787992e-17,8.652399026794037e-16,-2.206202163392175e-34,-1.3361607852134061e-14,1.896432617680806e-15,2.6634099251705107e-15,3.4661311712286883e-16,-7.468685546795368e-36,-9.517529215922812e-15,5.352019022826091e-15,-4.855269972261319e-45,2.819733605566036e-19,1.2735804872769588e-21,1.1505043393490966e-14,-1.6868082077537993e-14,0.6855035127307925,0.0,-2.6188268939065218e-21,-4.3559931013594745e-16,1.9458924787394459e-28,-5.910626861449974e-18
0.002125,0.11696219345308662,0.0,300.00000175611905,1.103196702441306,6.717480923532453e-06,-3.9326596433298595e-24,-1.3770945024430188e-15,0.18231418760536994,-8.066104885600926e-19,2.0203726311134155e-10,-5.0666962071405835e-15,3.749508058665877e-14,3.706839206099402e-42,1.770460679235036e-44,-1.8382168722307824e-28,7.621856444310872e-33,1.0403696607948063e-14,0.13217772780283701,1.708406420682095e-11,1.3054531469195247e-13,-1.0276707180388562e-29,1.636123709322551e-14,-3.415823533353851e-32,-1.8380997220271822e-23,3.619590042860922e-15,-5.6881876032277805e-43,1.8761894492700534e-14,-7.72222822836868e-35,2.4859136290143838e-14,-3.1800306192737064e-25,1.2773287060865098e-15,-9.992423798427321e-30,3.1965500799283046e-16,6.73813900790669e-19,-3.0802777028750076e-16,-1.144190584943817e-25,1.0207664791888375e-16,2.822684772792303e-15,-4.2490800371509305e-34,-1.3756276498947422e-14,2.0164204332015715e-15,2.6634740575144507e-15,3.4662699869405844e-16,4.753892348984351e-38,-9.464492898762001e-15,5.352006999122933e-15,-1.6485202981428055e-45,8.615144286145322e-19,1.0388250207611464e-20,1.1510336795878652e-14,-1.6867877172447624e-14,0.6855013668915269,0.0,-2.610524892014003e-21,-4.342392782407278e-16,-4.79823027706929e-28,2.278856873053311e-18
0.00325,0.11696374609248557,0.0,300.00001603476227,1.1031820580165856,2.1061197625605564e-05,-1.1540355287775866e-23,-1.3962263185174153e-15,0.18231158648864468,-8.194443042503843e-19,1.8329101833205023e-09,1.7660290379828065e-13,3.552286321330235e-13,2.9311469140562896e-48,-3.529797593216079e-44,-9.211999969788498e-29,1.0580556772615516e-32,4.3602644297617304e-14,0.13217571685625162,1.678025910631325e-10,1.646673557851646e-12,-1.898687113238594e-28,2.0462572847412453e-13,-2.9056971136349467e-31,1.4873844551510314e-21,3.8206138442983645e-14,-5.850696285667616e-42,2.260314278847396e-13,-1.4312089978192171e-33,3.0096967049815604e-13,-1.2384526013013687e-24,6.597699662201383e-14,-1.210311184107989e-28,3.7857052092652335e-15,4.798955965009281e-18,-7.63008305602546e-17,9.320767256227155e-27,6.410954076912324e-16,2.4233273629444762e-14,-1.2468736381579064e-33,-1.3103672687601515e-14,3.605390499920698e-15,2.6645029102492805e-15,3.4718928111047024e-16,3.6396964428014715e-38,-8.681322254052876e-15,5.351991442813703e-15,1.447233212461909e-44,9.250008974168674e-18,1.4231730281666672e-19,1.1588627772456362e-14,-1.6866785463885096e-14,0.6854916334536953,0.0,-2.4523419903523905e-21,-4.082349154350067e-16,-9.078058475725067e-27,1.3903644415059704e-16
0.0043749999999999995,0.11696794682141073,0.0,300.00011338091446,1.1031424388803002,5.9654240535653836e-05,-2.19806293064045e-23,-1.2433321435540466e-15,0.18230458645292527,-7.202421948137437e-19,1.2916068962519593e-08,1.4974153401427809e-12,2.6878866431238146e-12,5.77243482448074e-51,-1.5116315448831759e-43,-4.2167702631046e-28,-6.225263840414561e-32,1.2134916803326525e-13,0.1321703008304916,1.268969834728219e-09,1.5697345652629655e-11,-1.620900734162117e-27,1.9716226635754232e-12,-2.445154300572932e-30,3.5503449796966164e-20,3.6836899194502763e-13,-4.668705198285372e-41,2.0582589110297365e-12,-1.0934966663222183e-32,2.8243842232714314e-12,-2.0346628254853195e-24,8.171061994616578e-13,-9.77386591976966e-28,4.0911864682830355e-14,4.898492419421071e-17,-1.8900752143160914e-17,1.782693324812966e-26,3.2854925030761836e-15,1.7322120459080457e-13,-2.3748147139553853e-33,-6.5875644398376825e-15,1.710348994936965e-14,2.674387338521735e-15,3.5186200603418106e-16,2.868818296640455e-38,-1.230616659586273e-15,5.3523312697217984e-15,-2.4462207670898006e-44,8.739850122000574e-17,1.3713881591296743e-18,1.2324593722601134e-14,-1.6863750020404178e-14,0.6854654442627338,0.0,-4.957304061932524e-22,-8.52606493396325e-17,-7.734393809087925e-26,1.6159295779232729e-15
0.0055,0.11697940728476354,0.0,300.0007769012462,1.1030343640975684,0.00016348870364834181,7.874544755914517e-23,-9.536668014114678e-16,0.18228574188774543,-2.878352491277957e-19,8.823363780769434e-08,1.1125278852589208e-11,1.9799932254051834e-11,1.1487326508047585e-51,6.015481472107599e-43,-2.8788941154389175e-27,-1.4271411824942692e-31,4.063056437163979e-13,0.1321556939031828,9.314034236598154e-09,1.4590807883086527e-10,-1.1465638781984322e-26,1.855570655344355e-11,-1.726964703085263e-29,9.103231087595474e-19,3.520017164795829e-12,-1.7646960565395852e-40,1.825444499003439e-11,2.644122157646999e-33,2.588566190970509e-11,-2.40845155949573e-24,8.393198823336577e-12,-6.670760569380798e-27,4.385732700600985e-13,5.222646065152178e-16,-4.68227065389195e-18,2.4877279395290773e-26,1.6260403113422246e-14,1.2099429411004974e-12,8.507238692167375e-33,4.17493089773525e-14,1.317639935741385e-13,2.767498072604457e-15,3.867135348819726e-16,1.7252821854722666e-38,6.965581062140589e-14,5.356899523343312e-15,-9.683420331356464e-44,8.15422531569465e-16,1.2821296279058793e-17,1.9199293643907027e-14,-1.6855350046765118e-14,0.6853949777039621,0.0,2.370699761705922e-20,3.9264910416235785e-15,-5.466442664537591e-25,1.7564990870142385e-14
0.006625,0.11701131904252142,0.0,300.0052968839273,1.1027335404948009,0.0004428273327725985,2.1673720152552293e-21,-6.49529849032194e-18,0.18223496546383794,1.0347809641096115e-17,6.000288513288176e-07,8.132908198284371e-11,1.453076787225906e-10,2.2632177032918015e-52,2.662662091387652e-41,-7.088830681689991e-28,3.6684170565323065e-29,2.057117361077629e-12,0.13211616948116175,6.808652964146893e-08,1.3525037249463197e-09,3.721252268981644e-27,1.74192274969749e-10,2.456483571906371e-28,3.4266740088187323e-17,3.3602420619622566e-11,4.938532852128873e-38,1.614118775068721e-10,1.6726237313279012e-29,2.366247170037311e-10,1.5140687233773084e-24,8.313052229221515e-11,-3.0802618742624078e-27,4.697609889665846e-12,5.591188889656946e-15,-1.1601589602110881e-18,5.038835424331924e-25,7.994319537580568e-14,8.423337437942399e-12,2.3413766085232555e-31,3.972583713868258e-13,1.105667581715233e-12,3.640041825771317e-15,6.429394283246743e-16,-1.967130370283768e-38,7.440357530783988e-13,5.404227972456598e-15,6.139830407046285e-44,7.597086425522949e-15,1.194790759876643e-16,8.328875681271855e-14,-1.6831283989645158e-14,0.6852053673209062,0.0,3.2305675041983035e-19,5.375497234540352e-14,-2.5390336560604334e-25,1.8978578857997265e-13
